122,5702 Kirkpatrick WayIndianapolisIN,7 ft,7 ft,7 ft,5.7 miles,3.3 miles,7.0 miles,NA,NA,6.2 miles,3.0 miles,NA,6.4 miles,NA,NA
123,1 Playa CirAliso ViejoCA,NA,12.2 miles,7.1 miles,4.1 miles,3.6 miles,25.2 miles,NA,1.9 miles,6.4 miles,3.1 miles,8.2 miles,6.6 miles,5.3 miles,4.7 miles
124,330 Jade CtSan RamonCA,3.8 miles,3.8 miles,114 miles,1.6 miles,4.8 miles,30.0 miles,NA,18.8 miles,35.7 miles,2.6 miles,NA,0.5 mile,NA,4.9 miles
125,3260 E Indian School RdPhoenixAZ,13 ft,13 ft,13 ft,2.4 miles,2.6 miles,2.7 miles,NA,10.6 miles,5.4 miles,486 ft,NA,10.3 miles,NA,0.7 mile
126,1330 Enclave PkwyHoustonTX,10.0 miles,3.2 miles,6.2 miles,NA,NA,3.6 miles,NA,1.8 miles,NA,NA,NA,12.4 miles,9.0 miles,NA
128,1275 Center Court DrCovinaCA,NA,NA,128 miles,NA,NA,NA,NA,372 miles,NA,NA,NA,NA,NA,NA
130,5309 Painted Mirage RdLas VegasNV,15.9 miles,NA,15.7 miles,10.6 miles,4.4 miles,2.7 miles,NA,32.2 miles,7.7 miles,4.2 miles,NA,0.7 mile,0.7 mile,1.3 miles
131,1330 Enclave PkwyHoustonTX,10.0 miles,3.2 miles,6.2 miles,4.5 miles,NA,3.6 miles,NA,1.8 miles,NA,NA,NA,12.4 miles,9.0 miles,NA
132,6551 Sand Point Way NESeattleWA,21.9 miles,5.2 miles,17.4 miles,2.7 miles,4.4 miles,7.7 miles,NA,8.1 miles,12.8 miles,1.0 mile,NA,1.4 miles,1.4 miles,1.6 miles
135,1800 Preston Park BlvdPlanoTX,16.5 miles,5.7 miles,1.6 miles,0.9 mile,3.1 miles,7.3 miles,NA,4.8 miles,4.4 miles,1.0 mile,NA,8.7 miles,1.6 miles,0.5 mile
136,1000 Golden Springs DrDiamond BarCA,0.8 mile,NA,NA,12.9 miles,NA,NA,NA,2.3 miles,NA,1.7 miles,NA,2.6 miles,NA,2.9 miles
138,9200 Kings Canyon DrCharlotteNC,NA,NA,NA,4.0 miles,3.2 miles,14.9 miles,NA,NA,NA,2.1 miles,NA,6.0 miles,NA,3.3 miles
139,221 First Ave. West #205SeattleWA,2.1 miles,1.4 miles,12.2 miles,NA,5.4 miles,2.0 miles,NA,0.7 mile,4.6 miles,1.5 miles,NA,1.9 miles,4.5 miles,0.2 mile
140,3424 Paesanos PkwySan AntonioTX,0.4 mile,4.1 miles,3.4 miles,3.0 miles,10.7 miles,13.9 miles,17.4 miles,27.0 miles,8.2 miles,10.8 miles,19.5 miles,10.7 miles,14.2 miles,6.5 miles
141,9060 Irvine Center DrIrvineCA,8.1 miles,9.0 miles,9.8 miles,1.1 miles,2.6 miles,7.7 miles,NA,7.1 miles,2.4 miles,2.8 miles,1.7 miles,1.9 miles,8.2 miles,3.1 miles
142,1781 Del Monte BlvdSeasideCA,14.1 miles,3.8 miles,70.5 miles,4.5 miles,0.3 mile,16.1 miles,NA,NA,NA,0.7 mile,NA,2.7 miles,3.2 miles,1.9 miles
143,21 Christopher wayEatontownNJ,NA,2.6 miles,NA,11.6 miles,21.2 miles,60.1 miles,NA,0.8 mile,NA,14.7 miles,NA,39.5 miles,NA,1.7 miles
144,11500 N Ambassador DrKansas CityMO,NA,18.2 miles,0.7 mile,NA,5.1 miles,20.5 miles,NA,28.3 miles,2.2 miles,5.1 miles,NA,3.6 miles,NA,4.0 miles
145,3210 Caminito EastbluffLa JollaCA,5.4 miles,2.5 miles,30.4 miles,1.0 mile,5.0 miles,109 miles,NA,10.5 miles,8.8 miles,NA,NA,4.2 miles,5.1 miles,0.7 mile
146,18 KemptonIrvineCA,44.6 miles,23.9 miles,NA,6.1 miles,9.0 miles,6.8 miles,NA,5.1 miles,NA,NA,68.2 miles,51.4 miles,67.7 miles,NA
147,1800 Preston Park BlvdPlanoTX,16.1 miles,5.7 miles,1.6 miles,0.9 mile,3.1 miles,5.6 miles,NA,4.9 miles,4.4 miles,1.0 mile,NA,8.6 miles,1.6 miles,0.5 mile
148,9665 Chesapeake DrSan DiegoCA,49 ft,"2,649 miles",NA,7.7 miles,2.5 miles,3.9 miles,NA,12.0 miles,1.0 mile,3.1 miles,13.8 miles,8.0 miles,NA,3.0 miles
149,1 Aruba StLaguna NiguelCA,NA,NA,3.0 miles,3.4 miles,NA,6.0 miles,NA,NA,NA,NA,NA,17.1 miles,2.8 miles,NA
150,5702 Kirkpatrick WayIndianapolisIN,7 ft,7 ft,7 ft,5.7 miles,3.3 miles,7.0 miles,NA,NA,6.2 miles,3.0 miles,NA,6.4 miles,NA,NA
